,highest_charting_position,number_of_times_charted,streams,artist_followers,popularity,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,duration_ms,valence,chord,contemporary,dance,edm,electropop,hip hop,house,indie,latin,other,pop,rap,reggaeton,rock,trap
1275,31,3,5231134.0,11821805.0,67.0,0.855,0.676,-5.736,0.325,0.0888,0.144,133.082,195299.0,0.509,C#/Db,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1276,113,7,5082563.0,7564659.0,65.0,0.723,0.726,-3.835,0.0472,0.0564,0.057,100.051,176283.0,0.962,C#/Db,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1277,57,3,5068849.0,11821805.0,63.0,0.879,0.448,-8.57,0.222,0.0346,0.224,136.985,198913.0,0.278,G,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1278,163,1,5044774.0,29067437.0,62.0,0.731,0.787,-5.26,0.0721,0.0853,0.316,92.971,186693.0,0.393,E,0,0,0,0,0,0,0,1,0,0,0,2,0,0
1279,65,12,4878903.0,7601122.0,73.0,0.816,0.582,-4.141,0.341,0.0794,0.0916,160.004,136366.0,0.542,G#/Ab,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1280,42,5,4765672.0,28931149.0,63.0,0.71,0.808,-6.703,0.0433,0.44,0.0734,99.989,226003.0,0.392,D,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1281,183,1,4701388.0,861082.0,34.0,0.726,0.646,-6.9,0.0977,0.0495,0.112,134.999,163253.0,0.58,C#/Db,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1282,63,4,4684378.0,36177712.0,71.0,0.761,0.732,-5.469,0.0549,0.092,0.0716,151.982,243276.0,0.542,E,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1283,81,3,4591194.0,8123757.0,71.0,0.65,0.558,-3.082,0.0309,0.368,0.303,141.82,159533.0,0.725,C,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1284,130,3,4557817.0,4720858.0,72.0,0.617,0.525,-10.426,0.12,0.554,0.135,135.781,212867.0,0.377,G#/Ab,1,0,0,0,0,0,0,0,2,2,1,0,0,0
1285,45,4,4516243.0,36177712.0,72.0,0.71,0.81,-5.507,0.0854,0.117,0.154,92.041,159282.0,0.184,D,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1286,55,4,4438261.0,36177712.0,69.0,0.81,0.854,-3.999,0.254,0.0732,0.123,154.083,227939.0,0.879,A#/Bb,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1287,61,1,9039518.0,11821805.0,67.0,0.733,0.567,-6.718,0.319,0.0129,0.382,75.491,238816.0,0.319,C,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1288,68,1,8374259.0,11821805.0,70.0,0.895,0.739,-6.633,0.283,0.0183,0.102,140.007,219340.0,0.763,G#/Ab,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1289,104,1,6586204.0,1606884.0,70.0,0.747,0.497,-6.542,0.0401,0.248,0.138,142.046,158709.0,0.0663,E,0,0,0,0,0,0,0,0,0,0,1,0,0,1
